bilstm=100-False|dense=?-softmax|glvN-fold results:
,precision, recall, f1, support
0,0.568,0.677,0.618,31
1,0.000,0.000,0.000,5
2,0.804,0.883,0.842,163
3,0.000,0.000,0.000,1
4,0.476,0.526,0.500,19
5,0.000,0.000,0.000,1
6,0.486,0.472,0.479,36
7,1.000,0.500,0.667,4
8,0.000,0.000,0.000,3
9,0.000,0.000,0.000,1
10,0.917,0.880,0.898,25
11,0.000,0.000,0.000,3
12,0.000,0.000,0.000,2
13,0.429,0.500,0.462,6
14,0.000,0.000,0.000,1
15,0.000,0.000,0.000,2
16,0.000,0.000,0.000,1
17,0.400,0.400,0.400,5
18,0.500,1.000,0.667,2
19,0.615,0.533,0.571,15
20,0.000,0.000,0.000,1
21,1.000,0.500,0.667,4
22,0.000,0.000,0.000,3
23,1.000,1.000,1.000,3
24,0.500,0.500,0.500,2
25,0.000,0.000,0.000,1
26,0.000,0.000,0.000,1
27,0.667,0.667,0.667,6
28,0.500,0.286,0.364,7
29,0.778,0.750,0.764,28
30,0.000,0.000,0.000,3
31,0.000,0.000,0.000,1
32,0.875,0.840,0.857,75
33,0.000,0.000,0.000,1
34,0.400,0.667,0.500,3
35,0.438,0.483,0.459,29
36,0.000,0.000,0.000,2
37,0.000,0.000,0.000,2
38,0.000,0.000,0.000,1
39,1.000,0.769,0.870,13
40,0.000,0.000,0.000,1
41,0.000,0.000,0.000,3
42,0.000,0.000,0.000,2
43,0.000,0.000,0.000,1
44,0.667,1.000,0.800,4
45,0.000,0.000,0.000,3
46,0.750,0.600,0.667,5
47,0.747,0.827,0.785,75
48,0.000,0.000,0.000,1
49,0.500,0.500,0.500,10
50,0.000,0.000,0.000,1
51,0.333,0.250,0.286,4
52,0.480,0.632,0.545,19
53,0.000,0.000,0.000,2
54,0.686,0.761,0.722,46
55,0.000,0.000,0.000,1
56,0.308,0.667,0.421,12
57,0.000,0.000,0.000,3
58,0.600,0.562,0.581,16
59,0.000,0.000,0.000,1
60,0.111,0.125,0.118,8
61,0.714,0.455,0.556,11
62,0.000,0.000,0.000,1
63,0.571,0.667,0.615,6
64,0.000,0.000,0.000,1
65,1.000,0.750,0.857,4
66,0.000,0.000,0.000,3
67,0.000,0.000,0.000,3
68,0.000,0.000,0.000,5
69,0.700,0.636,0.667,11
70,0.429,0.375,0.400,8
71,0.000,0.000,0.000,1
72,0.750,0.429,0.545,7
73,0.724,0.844,0.780,109
74,0.000,0.000,0.000,1
75,1.000,1.000,1.000,7
76,0.091,0.100,0.095,10
77,0.400,0.400,0.400,10
78,0.500,0.385,0.435,13
79,0.400,0.400,0.400,10
80,0.000,0.000,0.000,4
81,0.000,0.000,0.000,1
82,0.412,0.333,0.368,21
83,0.333,0.200,0.250,10
84,0.000,0.000,0.000,3
85,0.125,0.111,0.118,9
86,0.000,0.000,0.000,5
87,0.500,0.200,0.286,5
88,0.621,0.621,0.621,29
89,0.000,0.000,0.000,1
90,0.500,0.286,0.364,7
91,0.000,0.000,0.000,2
92,0.664,0.750,0.704,100
93,0.622,0.737,0.675,38
94,0.200,0.167,0.182,6
95,0.876,0.897,0.886,174
96,0.818,0.857,0.837,210
97,0.881,0.881,0.881,59
98,0.000,0.000,0.000,1
99,0.656,0.600,0.627,35
100,0.760,0.760,0.760,125
101,0.378,0.326,0.350,43
102,0.698,0.698,0.698,43
103,0.688,0.667,0.677,33
104,0.000,0.000,0.000,2
105,0.622,0.676,0.648,34
106,0.545,0.375,0.444,16
107,0.000,0.000,0.000,1
108,0.000,0.000,0.000,1
109,0.703,0.743,0.722,35
110,0.000,0.000,0.000,1
111,0.829,0.872,0.850,39
112,0.000,0.000,0.000,1
113,0.931,0.940,0.935,601
114,0.672,0.612,0.641,67
115,0.687,0.672,0.679,137
116,0.231,0.300,0.261,10
117,0.545,0.375,0.444,16
118,0.543,0.417,0.472,60
119,0.959,0.972,0.965,3007
120,0.600,0.484,0.536,31
121,0.438,0.350,0.389,20
122,0.000,0.000,0.000,5
123,0.000,0.000,0.000,5
124,1.000,0.667,0.800,3
125,0.594,0.576,0.585,33
126,0.409,0.429,0.419,21
127,0.737,0.778,0.757,18
128,0.824,0.854,0.838,82
129,0.773,0.773,0.773,22
130,0.000,0.000,0.000,1
131,1.000,1.000,1.000,2
132,0.790,0.766,0.778,64
133,1.000,1.000,1.000,2
134,0.000,0.000,0.000,3
135,0.000,0.000,0.000,1
136,0.667,0.706,0.686,68
137,0.000,0.000,0.000,1
138,0.000,0.000,0.000,1
139,0.000,0.000,0.000,2
140,0.000,0.000,0.000,1
141,0.000,0.000,0.000,1
142,0.600,1.000,0.750,3
143,0.000,0.000,0.000,2
144,0.500,0.562,0.529,16
145,0.818,0.643,0.720,14
146,0.000,0.000,0.000,5
147,0.231,0.250,0.240,12
148,0.167,0.167,0.167,6
149,0.667,0.400,0.500,5
150,0.600,0.692,0.643,39
151,0.739,0.739,0.739,23
152,0.000,0.000,0.000,1
153,1.000,0.667,0.800,3
154,0.250,0.222,0.235,18
155,1.000,1.000,1.000,4
156,0.357,0.357,0.357,14
157,0.000,0.000,0.000,3
158,0.464,0.500,0.481,26
159,0.600,0.273,0.375,11
160,1.000,0.333,0.500,3
161,0.750,0.677,0.712,31
162,0.000,0.000,0.000,1
163,0.000,0.000,0.000,1
164,0.000,0.000,0.000,4
165,0.000,0.000,0.000,1
166,1.000,0.333,0.500,3
167,0.000,0.000,0.000,4
168,0.000,0.000,0.000,5
169,0.000,0.000,0.000,3
