bilstm=100-False|dense=?-softmax|glvN-fold results:
,precision, recall, f1, support
0,0.792,0.767,0.780,219
1,0.645,0.548,0.593,73
2,0.769,0.769,0.769,173
3,0.691,0.680,0.686,178
4,0.755,0.716,0.735,116
5,0.867,0.520,0.650,25
6,0.730,0.742,0.736,124
7,0.719,0.697,0.708,33
8,0.656,0.602,0.628,98
9,0.881,0.824,0.851,153
10,0.852,0.869,0.861,444
11,0.877,0.877,0.877,333
12,0.814,0.750,0.781,76
13,0.977,0.982,0.979,3949
14,0.735,0.709,0.722,258
15,0.740,0.704,0.722,81
16,0.543,0.636,0.586,236
17,0.143,0.043,0.067,23
18,0.758,0.801,0.779,196
19,0.412,0.318,0.359,22
20,0.690,0.764,0.725,406
21,0.851,0.869,0.860,382
22,0.619,0.629,0.624,132
23,0.600,0.674,0.635,129
24,0.538,0.438,0.483,32
25,0.467,0.368,0.412,38
26,0.625,0.600,0.612,50
27,0.722,0.713,0.717,80
28,0.000,0.000,0.000,2
29,0.660,0.635,0.647,52
30,0.583,0.540,0.561,137
31,0.000,0.000,0.000,2
32,0.000,0.000,0.000,2
33,0.736,0.722,0.729,54
34,0.682,0.455,0.545,33
35,0.500,0.222,0.308,9
36,0.625,0.455,0.526,11
mac avg,0.629,0.585,0.601,8361
macro avg weighted,0.8496711590432009,0.8515727783757924,0.8498210434364449,None
micro avg,0.8515727783757924,0.8515727783757924,0.8515727783757924,None
accuracy on this run=0.8515727783757924

cnn[2,3,4](conv1d=100)|maxpooling1d=4|flatten|dense=?-softmax|glvN-fold results:
,precision, recall, f1, support
0,0.701,0.740,0.720,219
1,0.677,0.575,0.622,73
2,0.771,0.757,0.764,173
3,0.708,0.640,0.673,178
4,0.647,0.741,0.691,116
5,0.833,0.400,0.541,25
6,0.723,0.758,0.740,124
7,0.704,0.576,0.633,33
8,0.781,0.582,0.667,98
9,0.891,0.797,0.841,153
10,0.863,0.892,0.877,444
11,0.887,0.895,0.891,333
12,0.808,0.776,0.792,76
13,0.967,0.988,0.977,3949
14,0.710,0.713,0.712,258
15,0.814,0.704,0.755,81
16,0.585,0.610,0.598,236
17,0.286,0.174,0.216,23
18,0.789,0.765,0.777,196
19,0.600,0.273,0.375,22
20,0.689,0.786,0.734,406
21,0.844,0.861,0.852,382
22,0.620,0.606,0.613,132
23,0.608,0.674,0.640,129
24,0.455,0.312,0.370,32
25,0.630,0.447,0.523,38
26,0.511,0.460,0.484,50
27,0.735,0.625,0.676,80
28,0.000,0.000,0.000,2
29,0.689,0.596,0.639,52
30,0.560,0.474,0.514,137
31,0.000,0.000,0.000,2
32,0.000,0.000,0.000,2
33,0.708,0.630,0.667,54
34,0.480,0.364,0.414,33
35,0.600,0.333,0.429,9
36,1.000,0.727,0.842,11
mac avg,0.645,0.574,0.602,8361
macro avg weighted,0.8460198314372614,0.8495395287645019,0.8463028698449189,None
micro avg,0.8495395287645019,0.8495395287645019,0.8495395287645019,None
accuracy on this run=0.8495395287645019

han_2dinputN-fold results:
,precision, recall, f1, support
0,0.766,0.763,0.764,219
1,0.632,0.589,0.610,73
2,0.799,0.803,0.801,173
3,0.705,0.697,0.701,178
4,0.757,0.750,0.753,116
5,0.500,0.360,0.419,25
6,0.695,0.718,0.706,124
7,0.514,0.545,0.529,33
8,0.682,0.612,0.645,98
9,0.821,0.810,0.816,153
10,0.874,0.892,0.883,444
11,0.892,0.889,0.890,333
12,0.781,0.750,0.765,76
13,0.978,0.983,0.981,3949
14,0.701,0.717,0.709,258
15,0.712,0.642,0.675,81
16,0.595,0.572,0.583,236
17,0.176,0.130,0.150,23
18,0.818,0.827,0.822,196
19,0.409,0.409,0.409,22
20,0.734,0.773,0.753,406
21,0.868,0.843,0.855,382
22,0.595,0.689,0.639,132
23,0.630,0.659,0.644,129
24,0.438,0.438,0.438,32
25,0.656,0.553,0.600,38
26,0.630,0.580,0.604,50
27,0.701,0.762,0.731,80
28,0.000,0.000,0.000,2
29,0.660,0.673,0.667,52
30,0.566,0.504,0.533,137
31,0.000,0.000,0.000,2
32,0.000,0.000,0.000,2
33,0.672,0.722,0.696,54
34,0.577,0.455,0.508,33
35,0.167,0.111,0.133,9
36,0.600,0.545,0.571,11
mac avg,0.603,0.588,0.594,8361
macro avg weighted,0.8521081655830165,0.8539648367420165,0.8527158185898418,None
micro avg,0.8539648367420165,0.8539648367420165,0.8539648367420165,None
accuracy on this run=0.8539648367420165

