user_id,noun_Advocates_scoresum,noun_Advocates_matchsum,noun_Advocates_matchmax,noun_Advocates_matchbool,noun_Patient_scoresum,noun_Patient_matchsum,noun_Patient_matchmax,noun_Patient_matchbool,noun_Research_scoresum,noun_Research_matchsum,noun_Research_matchmax,noun_Research_matchbool,noun_HPI_scoresum,noun_HPI_matchsum,noun_HPI_matchmax,noun_HPI_matchbool,noun_HPO_scoresum,noun_HPO_matchsum,noun_HPO_matchmax,noun_HPO_matchbool,verb_Patient_scoresum,verb_Patient_matchsum,verb_Patient_matchmax,verb_Patient_matchbool,verb_HPO_scoresum,verb_HPO_matchsum,verb_HPO_matchmax,verb_HPO_matchbool,verb_HPI_scoresum,verb_HPI_matchsum,verb_HPI_matchmax,verb_HPI_matchbool,verb_Research_scoresum,verb_Research_matchsum,verb_Research_matchmax,verb_Research_matchbool,verb_Advocates_scoresum,verb_Advocates_matchsum,verb_Advocates_matchmax,verb_Advocates_matchbool
https://twitter.com/RebeckaPeebles,0.00852861209697074,4,0.0036942901052133825,1,0.012693202945865033,5,0.004032512129040388,1,0.01982241420686345,2,0.01823854091672666,1,0.007758915679047623,3,0.004370830457786979,1,0.0009017298490982701,1,0.0009017298490982701,1,0.012855007473841554,2,0.01046337817638266,1,0.001342158485015628,2,0.0011583011583011582,1,0.03171608265947889,2,0.030817610062893082,1,0.0007833436404864976,2,0.0005772005772005772,1,0.001993530429549387,2,0.0013164823591363874,1
https://twitter.com/RebeckaPeebles,0.00852861209697074,4,0.0036942901052133825,1,0.012693202945865033,5,0.004032512129040388,1,0.01982241420686345,2,0.01823854091672666,1,0.007758915679047623,3,0.004370830457786979,1,0.0009017298490982701,1,0.0009017298490982701,1,0.012855007473841554,2,0.01046337817638266,1,0.001342158485015628,2,0.0011583011583011582,1,0.03171608265947889,2,0.030817610062893082,1,0.0007833436404864976,2,0.0005772005772005772,1,0.001993530429549387,2,0.0013164823591363874,1
https://twitter.com/sini_DM,0.06487360489356979,7,0.02368167346755751,1,0.03632153805383847,11,0.006505576208178439,1,0.015182019001991514,5,0.010924643269917716,1,0.02258361539387781,5,0.015997292359111452,1,0.021753029086204915,7,0.010332805931717003,1,0.009257514665058848,3,0.005627363052844456,1,0.0003028238322355969,1,0.0003028238322355969,1,0.0017176681993552136,2,0.001347708894878706,1,0.0014854426619132501,2,0.0007639419404125286,1,0.018467481779441634,3,0.01366044047950934,1
https://twitter.com/RyanWest1990,0,0,0,0,0.0009293680297397769,1,0.0009293680297397769,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0023916292974588936,1,0.0023916292974588936,1,0.0011583011583011582,1,0.0011583011583011582,1,0.030817610062893082,1,0.030817610062893082,1,0.0005772005772005772,1,0.0005772005772005772,1,0.0013164823591363874,1,0.0013164823591363874,1
https://twitter.com/JAmCollSurg,0,0,0,0,0,0,0,0,0.018718502519798418,2,0.012958963282937365,1,0.022747783617348836,2,0.011705685618729098,1,0.0009732170663344753,1,0.0009732170663344753,1,0,0,0,0,0,0,0,0,0,0,0,0,0.017316017316017316,1,0.017316017316017316,1,0,0,0,0
https://twitter.com/Javier_DiazNido,0.037186466308598426,6,0.02368167346755751,1,0.003148836768395347,3,0.0012979105242917576,1,0.06056376085319266,7,0.01823854091672666,1,0.029014953940623207,7,0.015997292359111452,1,0.012321790019844297,2,0.010332805931717003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://twitter.com/Tigerannetct,0.11235712632742403,14,0.018725617685305593,1,0.011061109563023983,7,0.004510720588787503,1,0.00926103598246832,10,0.0020258844408726374,1,0.013111853692443666,7,0.005521048999309869,1,0.041979739077913934,13,0.015120470030611238,1,0.0017547280171573408,1,0.0017547280171573408,1,0.0006714789323484975,1,0.0006714789323484975,1,0,0,0,0,0,0,0,0,0.013462463081255581,1,0.013462463081255581,1
https://twitter.com/ms_matko,0.006141702930153972,3,0.0031588956455722845,1,0.0010872963527658337,2,0.0008131970260223048,1,0.09477679973183724,3,0.0903245712693215,1,0.004127752920666871,2,0.003590277528452949,1,0.030408410016924,3,0.0247185883784606,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://twitter.com/vismitag,0.004061522510807296,1,0.004061522510807296,1,0.0018336180046217222,2,0.000929368029739777,1,0.0023544062420952274,1,0.0023544062420952274,1,0.011195978587282935,1,0.011195978587282935,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0047169811320754715,1,0.0047169811320754715,1,0.00048100048100048096,1,0.00048100048100048096,1,0.004388274530454625,1,0.004388274530454625,1
https://twitter.com/AutismSite,0.011895881425926486,1,0.011895881425926486,1,0.0035200616657717525,2,0.0018966694484485245,1,0.0020258844408726374,1,0.0020258844408726374,1,0.0036111512350137224,1,0.0036111512350137224,1,0.015655567063155802,3,0.009109311740890687,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://twitter.com/AutismSite,0.011895881425926486,1,0.011895881425926486,1,0.0035200616657717525,2,0.0018966694484485245,1,0.0020258844408726374,1,0.0020258844408726374,1,0.0036111512350137224,1,0.0036111512350137224,1,0.015655567063155802,3,0.009109311740890687,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://twitter.com/GillianRudd,0.004061522510807296,1,0.004061522510807296,1,0.0009042499748819451,1,0.0009042499748819451,1,0.014065469357046032,4,0.004319654427645789,1,0.024492504927287537,4,0.011195978587282935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
